Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition,DocumentLocation
ECL,DCITE,100492.xml,Unknown,"http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd",/resource/@xsi:schemaLocation,Undefined,/resource/@xsi:schemaLocation
ECL,DCITE,100492.xml,Resource Identifier,"10.1594/IEDA/100492",/resource/identifier,"/dcite:resource/dcite:identifier|/dcite:resource/dcite:alternateIdentifiers/dcite:alternateIdentifier",/resource/identifier[1]
ECL,DCITE,100492.xml,First Name,"Hagedorn, Birgit",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[1]/creatorName[1]
ECL,DCITE,100492.xml,Middle Name,"Hagedorn, Birgit",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[1]/creatorName[1]
ECL,DCITE,100492.xml,Last Name,"Hagedorn, Birgit",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[1]/creatorName[1]
ECL,DCITE,100492.xml,Unknown,"1743",/resource/creators/creator/nameIdentifier,Undefined,/resource/creators[1]/creator[1]/nameIdentifier[1]
ECL,DCITE,100492.xml,Unknown,"GeoPass",/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,Undefined,/resource/creators[1]/creator[1]/nameIdentifier[1]/@nameIdentifierScheme
ECL,DCITE,100492.xml,First Name,"Sletten, Ronald S",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[2]/creatorName[1]
ECL,DCITE,100492.xml,Middle Name,"Sletten, Ronald S",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[2]/creatorName[1]
ECL,DCITE,100492.xml,Last Name,"Sletten, Ronald S",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[2]/creatorName[1]
ECL,DCITE,100492.xml,First Name,"Christner, Brent",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[3]/creatorName[1]
ECL,DCITE,100492.xml,Middle Name,"Christner, Brent",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[3]/creatorName[1]
ECL,DCITE,100492.xml,Last Name,"Christner, Brent",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[3]/creatorName[1]
ECL,DCITE,100492.xml,First Name,"Junge, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[4]/creatorName[1]
ECL,DCITE,100492.xml,Middle Name,"Junge, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[4]/creatorName[1]
ECL,DCITE,100492.xml,Last Name,"Junge, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[4]/creatorName[1]
ECL,DCITE,100492.xml,First Name,"Choquette, Kyla",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[5]/creatorName[1]
ECL,DCITE,100492.xml,Middle Name,"Choquette, Kyla",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[5]/creatorName[1]
ECL,DCITE,100492.xml,Last Name,"Choquette, Kyla",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[5]/creatorName[1]
ECL,DCITE,100492.xml,First Name,"Dieser, Markus",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[6]/creatorName[1]
ECL,DCITE,100492.xml,Middle Name,"Dieser, Markus",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[6]/creatorName[1]
ECL,DCITE,100492.xml,Last Name,"Dieser, Markus",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[6]/creatorName[1]
ECL,DCITE,100492.xml,First Name,"Cameron, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[7]/creatorName[1]
ECL,DCITE,100492.xml,Middle Name,"Cameron, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[7]/creatorName[1]
ECL,DCITE,100492.xml,Last Name,"Cameron, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[7]/creatorName[1]
ECL,DCITE,100492.xml,Resource Title,"Geochemical data of meltwater from the Akuliarusiarsuuo Kuua SW Greenland",/resource/titles/title,"/dcite:resource/dcite:titles/dcite:title",/resource/titles[1]/title[1]
ECL,DCITE,100492.xml,Publisher,"Integrated Earth Data Applications (IEDA)",/resource/publisher,"/dcite:resource/dcite:publisher",/resource/publisher[1]
ECL,DCITE,100492.xml,Publication Date,"2014",/resource/publicationYear,"/dcite:resource/dcite:publicationYear",/resource/publicationYear[1]
ECL,DCITE,100492.xml,Theme Keyword,"Chemistry:Fluid",/resource/subjects/subject,"/dcite:resource/dcite:subjects/dcite:subject",/resource/subjects[1]/subject[1]
ECL,DCITE,100492.xml,Keyword,"Chemistry:Fluid",/resource/subjects/subject,"/dcite:resource/dcite:subjects/dcite:subject",/resource/subjects[1]/subject[1]
ECL,DCITE,100492.xml,Resource Creation/Revision Date,"2014-11-15",/resource/dates/date,"/dcite:resource/dcite:dates/dcite:date",/resource/dates[1]/date[1]
ECL,DCITE,100492.xml,Resource Language,"eng",/resource/language,"/dcite:resource/dcite:language",/resource/language[1]
ECL,DCITE,100492.xml,Unknown,"Dataset",/resource/resourceType/@resourceTypeGeneral,Undefined,/resource/resourceType[1]/@resourceTypeGeneral
ECL,DCITE,100492.xml,Resource Identifier,"http://www.earthchem.org/library/browse/view?id=805",/resource/alternateIdentifiers/alternateIdentifier,"/dcite:resource/dcite:identifier|/dcite:resource/dcite:alternateIdentifiers/dcite:alternateIdentifier",/resource/alternateIdentifiers[1]/alternateIdentifier[1]
ECL,DCITE,100492.xml,Resource Format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",/resource/formats/format,"/dcite:resource/dcite:formats/dcite:format",/resource/formats[1]/format[1]
ECL,DCITE,100492.xml,Distribution Format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",/resource/formats/format,"/dcite:resource/dcite:formats/dcite:format",/resource/formats[1]/format[1]
ECL,DCITE,100492.xml,Resource Version,"1.0",/resource/version,"/dcite:resource/dcite:version",/resource/version[1]
ECL,DCITE,100492.xml,Unknown,"Editor",/resource/contributors/contributor/@contributorType,Undefined,/resource/contributors[1]/contributor[1]/@contributorType
ECL,DCITE,100492.xml,Contributor Name,"EarthChem Library (ECL)",/resource/contributors/contributor/contributorName,"/dcite:resource/dcite:contributors/dcite:contributor/dcite:contributorName",/resource/contributors[1]/contributor[1]/contributorName[1]
ECL,DCITE,100492.xml,Responsible Party Identifier,"10.17616/R3V644",/resource/contributors/contributor/nameIdentifier,"/dcite:resource/dcite:contributors/dcite:contributor/dcite:nameIdentifier",/resource/contributors[1]/contributor[1]/nameIdentifier[1]
ECL,DCITE,100492.xml,Rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]",/resource/rightsList/rights,"/dcite:resource/dcite:rightsList/dcite:rights",/resource/rightsList[1]/rights[1]
ECL,DCITE,100492.xml,Abstract,"Chemical Composition of supraglacial and subglacial meltwater was collected along the Akuliarusiarsuuo Kuua in west Greenland, Kangerlussuaq from May to September 2012. Major and trace elements were measured to identify weathering reactions and total solute composition.",/resource/descriptions/description,"/dcite:resource/dcite:descriptions/dcite:description[@descriptionType='Abstract']",/resource/descriptions[1]/description[1]
ECL,DCITE,100492.xml,Unknown,"Meltwater composition, supraglacial, subglacial, weathering",/resource/descriptions/description,Undefined,/resource/descriptions[1]/description[2]
ECL,DCITE,100492.xml,Unknown,"Other",/resource/descriptions/description/@descriptionType,Undefined,/resource/descriptions[1]/description[2]/@descriptionType
ECL,DCITE,100492.xml,Spatial Extent,"67.00948 -50.68857 67.23456 -48.12486",/resource/geoLocations/geoLocation,"/dcite:resource/dcite:geoLocations/dcite:geoLocation",/resource/geoLocations[1]/geoLocation[1]
ECL,DCITE,100492.xml,Spatial Extent,"West Greenland Ice Sheet",/resource/geoLocations/geoLocation,"/dcite:resource/dcite:geoLocations/dcite:geoLocation",/resource/geoLocations[1]/geoLocation[2]
ECL,DCITE,100493.xml,Unknown,"http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd",/resource/@xsi:schemaLocation,Undefined,/resource/@xsi:schemaLocation
ECL,DCITE,100493.xml,Resource Identifier,"10.1594/IEDA/100493",/resource/identifier,"/dcite:resource/dcite:identifier|/dcite:resource/dcite:alternateIdentifiers/dcite:alternateIdentifier",/resource/identifier[1]
ECL,DCITE,100493.xml,First Name,"Hagedorn, Birgit",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[1]/creatorName[1]
ECL,DCITE,100493.xml,Middle Name,"Hagedorn, Birgit",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[1]/creatorName[1]
ECL,DCITE,100493.xml,Last Name,"Hagedorn, Birgit",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[1]/creatorName[1]
ECL,DCITE,100493.xml,Unknown,"1743",/resource/creators/creator/nameIdentifier,Undefined,/resource/creators[1]/creator[1]/nameIdentifier[1]
ECL,DCITE,100493.xml,Unknown,"GeoPass",/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,Undefined,/resource/creators[1]/creator[1]/nameIdentifier[1]/@nameIdentifierScheme
ECL,DCITE,100493.xml,First Name,"Sletten, Ronald S",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[2]/creatorName[1]
ECL,DCITE,100493.xml,Middle Name,"Sletten, Ronald S",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[2]/creatorName[1]
ECL,DCITE,100493.xml,Last Name,"Sletten, Ronald S",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[2]/creatorName[1]
ECL,DCITE,100493.xml,First Name,"Christner, Brent",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[3]/creatorName[1]
ECL,DCITE,100493.xml,Middle Name,"Christner, Brent",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[3]/creatorName[1]
ECL,DCITE,100493.xml,Last Name,"Christner, Brent",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[3]/creatorName[1]
ECL,DCITE,100493.xml,First Name,"Choquette, Kyla",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[4]/creatorName[1]
ECL,DCITE,100493.xml,Middle Name,"Choquette, Kyla",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[4]/creatorName[1]
ECL,DCITE,100493.xml,Last Name,"Choquette, Kyla",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[4]/creatorName[1]
ECL,DCITE,100493.xml,First Name,"Cameron, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[5]/creatorName[1]
ECL,DCITE,100493.xml,Middle Name,"Cameron, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[5]/creatorName[1]
ECL,DCITE,100493.xml,Last Name,"Cameron, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[5]/creatorName[1]
ECL,DCITE,100493.xml,First Name,"Dieser, Markus",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[6]/creatorName[1]
ECL,DCITE,100493.xml,Middle Name,"Dieser, Markus",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[6]/creatorName[1]
ECL,DCITE,100493.xml,Last Name,"Dieser, Markus",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[6]/creatorName[1]
ECL,DCITE,100493.xml,First Name,"Junge, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[7]/creatorName[1]
ECL,DCITE,100493.xml,Middle Name,"Junge, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[7]/creatorName[1]
ECL,DCITE,100493.xml,Last Name,"Junge, Karen",/resource/creators/creator/creatorName,"/dcite:resource/dcite:creators/dcite:creator/dcite:creatorName",/resource/creators[1]/creator[7]/creatorName[1]
ECL,DCITE,100493.xml,Resource Title,"Geochemical analyses of meltwater from Pituffik, NW Greenland",/resource/titles/title,"/dcite:resource/dcite:titles/dcite:title",/resource/titles[1]/title[1]
ECL,DCITE,100493.xml,Publisher,"Integrated Earth Data Applications (IEDA)",/resource/publisher,"/dcite:resource/dcite:publisher",/resource/publisher[1]
ECL,DCITE,100493.xml,Publication Date,"2014",/resource/publicationYear,"/dcite:resource/dcite:publicationYear",/resource/publicationYear[1]
ECL,DCITE,100493.xml,Theme Keyword,"Chemistry:Fluid",/resource/subjects/subject,"/dcite:resource/dcite:subjects/dcite:subject",/resource/subjects[1]/subject[1]
ECL,DCITE,100493.xml,Keyword,"Chemistry:Fluid",/resource/subjects/subject,"/dcite:resource/dcite:subjects/dcite:subject",/resource/subjects[1]/subject[1]
ECL,DCITE,100493.xml,Resource Creation/Revision Date,"2014-11-15",/resource/dates/date,"/dcite:resource/dcite:dates/dcite:date",/resource/dates[1]/date[1]
ECL,DCITE,100493.xml,Resource Language,"eng",/resource/language,"/dcite:resource/dcite:language",/resource/language[1]
