Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,PODAAC_ISO,101,101,1.0,100.00%
Abstract,PODAAC_ISO,101,101,1.0,100.00%
Address,PODAAC_ISO,201,101,1.99009900990099,100.00%
Bounding Box,PODAAC_ISO,103,101,1.0198019801980198,100.00%
Browse Description,PODAAC_ISO,15,15,0.1485148514851485,14.85%
Browse File Name,PODAAC_ISO,15,15,0.1485148514851485,14.85%
Browse Format,PODAAC_ISO,15,15,0.1485148514851485,14.85%
Browse URL,PODAAC_ISO,15,15,0.1485148514851485,14.85%
Cited Resource Identifier,PODAAC_ISO,101,101,1.0,100.00%
Cited Resource Title,PODAAC_ISO,1054,101,10.435643564356436,100.00%
City,PODAAC_ISO,201,101,1.99009900990099,100.00%
Contact Instructions,PODAAC_ISO,201,101,1.99009900990099,100.00%
Coordinate Reference System (CRS),PODAAC_ISO,101,101,1.0,100.00%
Country,PODAAC_ISO,201,101,1.99009900990099,100.00%
Data Dates,PODAAC_ISO,163,101,1.613861386138614,100.00%
Data Quality Scope,PODAAC_ISO,101,101,1.0,100.00%
Distribution Contact,PODAAC_ISO,129,101,1.2772277227722773,100.00%
Distribution Format,PODAAC_ISO,101,101,1.0,100.00%
Easternmost Longitude,PODAAC_ISO,103,101,1.0198019801980198,100.00%
Email,PODAAC_ISO,229,101,2.267326732673267,100.00%
End Time,PODAAC_ISO,101,101,1.0,100.00%
Enumerated Domain Value Definition Source,PODAAC_ISO,505,101,5.0,100.00%
First Name,PODAAC_ISO,128,100,1.2673267326732673,99.01%
Format of the Online Resource,PODAAC_ISO,202,101,2.0,100.00%
Geographic Description,PODAAC_ISO,101,101,1.0,100.00%
Hours of Service,PODAAC_ISO,100,100,0.9900990099009901,99.01%
Instrument,PODAAC_ISO,224,101,2.217821782178218,100.00%
Instrument Keyword,PODAAC_ISO,224,101,2.217821782178218,100.00%
Instrument Keyword Vocabulary,PODAAC_ISO,101,101,1.0,100.00%
Instrument Short Name,PODAAC_ISO,224,101,2.217821782178218,100.00%
Instrument Type,PODAAC_ISO,101,101,1.0,100.00%
Keyword,PODAAC_ISO,788,101,7.801980198019802,100.00%
