Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition,DocumentLocation
LTER_2013,EML,00080-metadata.xml,Unknown,"knb-lter-fce.1092.8",/eml:eml/@packageId,Undefined,/eml:eml/@packageId
LTER_2013,EML,00080-metadata.xml,Unknown,"knb",/eml:eml/@system,Undefined,/eml:eml/@system
LTER_2013,EML,00080-metadata.xml,Unknown,"eml://ecoinformatics.org/eml-2.1.0 http://nis.lternet.edu/schemas/eml/eml-2.1.0/eml.xsd",/eml:eml/@xsi:schemaLocation,Undefined,/eml:eml/@xsi:schemaLocation
LTER_2013,EML,00080-metadata.xml,Security Constraints,"uid=FCE,o=lter,dc=ecoinformatics,dc=org read public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
LTER_2013,EML,00080-metadata.xml,Resource Access Constraints,"uid=FCE,o=lter,dc=ecoinformatics,dc=org read public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
LTER_2013,EML,00080-metadata.xml,Metadata Access Constraints,"uid=FCE,o=lter,dc=ecoinformatics,dc=org read public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
LTER_2013,EML,00080-metadata.xml,Metadata Use Constraints,"uid=FCE,o=lter,dc=ecoinformatics,dc=org read public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
LTER_2013,EML,00080-metadata.xml,Resource Status,"uid=FCE,o=lter,dc=ecoinformatics,dc=org read public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
LTER_2013,EML,00080-metadata.xml,Unknown,"PHY_Grahl_001",/eml:eml/dataset/@id,Undefined,/eml:eml/dataset[1]/@id
LTER_2013,EML,00080-metadata.xml,Unknown,"PHY_Grahl_001",/eml:eml/dataset/alternateIdentifier,Undefined,/eml:eml/dataset[1]/alternateIdentifier[1]
LTER_2013,EML,00080-metadata.xml,Resource Title,"Precipitation from the Shark River Slough, Everglades National Park (FCE), South Florida from November 2000 to Present",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
LTER_2013,EML,00080-metadata.xml,Resource Long Name,"Precipitation from the Shark River Slough, Everglades National Park (FCE), South Florida from November 2000 to Present",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
LTER_2013,EML,00080-metadata.xml,Author,"Dr. Rene Price Department of Earth and Environment Principal Investigator Florida International University Modesto Maidique Campus ECS 347 Miami FL 33199 USA 305-348-3119 305-348-3877 pricer@fiu.edu http://www2.fiu.edu/~pricer/",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
LTER_2013,EML,00080-metadata.xml,Author / Originator,"Dr. Rene Price Department of Earth and Environment Principal Investigator Florida International University Modesto Maidique Campus ECS 347 Miami FL 33199 USA 305-348-3119 305-348-3877 pricer@fiu.edu http://www2.fiu.edu/~pricer/",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
LTER_2013,EML,00080-metadata.xml,Author,"Dr. Daniel Childers Global Institute of Sustainability| School of Sustainability Associate Director for Research| Professor Arizona State University PO Box 875402 Tempe AZ 85287 USA 480-965-2320 480-965-8087 dan.childers@asu.edu",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[2]
LTER_2013,EML,00080-metadata.xml,Author / Originator,"Dr. Daniel Childers Global Institute of Sustainability| School of Sustainability Associate Director for Research| Professor Arizona State University PO Box 875402 Tempe AZ 85287 USA 480-965-2320 480-965-8087 dan.childers@asu.edu",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[2]
LTER_2013,EML,00080-metadata.xml,Metadata Contact,"Florida Coastal Everglades LTER Program Florida International University University Park OE 148 Miami FL 33199 USA 305-348-6054 fcelter@fiu.edu http://fcelter.fiu.edu",/eml:eml/dataset/metadataProvider,"/eml:eml/*/metadataProvider",/eml:eml/dataset[1]/metadataProvider[1]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Rafael Travieso Southeast Environmental Research Center Florida International University University Park OE 148 Miami FL 33199 USA 305-348-7286 305-348-4096 travieso@fiu.edu http://www.fiu.edu/~ecosyst/ Technical Staff",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[1]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Rene Price Florida International University 11200 SW 8th St. SERC OE-148 Miami FL 33199 USA 305-348-3119 305-348-3877 pricer@fiu.edu www.fiu.edu/~pricer PI",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[2]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Daniel Childers Global Institute of Sustainability| School of Sustainability Associate Director for Research Professor Arizona State University|PO Box 875402 Tempe AZ 85287 USA 480-965-2320 480-965-8087 dan.childers@asu.edu",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[3]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"David Iwaniec Southeast Environmental Research Center Florida International University University Park OE 148 Miami FL 33199 USA 305-348-1576 305-348-4096 iwaniecd@fiu.edu http://www.fiu.edu/~ecosyst/ Masters Student",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[4]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Damon Rondeau Southeast Environmental Research Center Florida International University University Park OE 148 Miami FL 33199 USA 305-348-1576 305-348-4096 rondeaud@fiu.edu http://www.fiu.edu/~ecosyst/ Technical Staff",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[5]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Gustavo Rubio Southeast Environmental Research Center Florida International University University Park OE 148 Miami FL 33199 USA 305-348-1576 305-348-4096 rubiog@fiu.edu http://www.fiu.edu/~ecosyst/ Masters Student",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[6]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Greg Losada Southeast Environmental Research Center Florida International University University Park OE 148 Miami FL 33199 USA 305-348-1576 305-348-4096 glosa001@fiu.edu http://www.fiu.edu/~ecosyst/ Technical Staff",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[7]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Emilie Verdon Southeast Environmental Research Center Florida International University University Park OE 148 Miami FL 33199 USA 305-348-1576 305-348-4096 everd002@fiu.edu http://www.fiu.edu/~ecosyst/ Masters Student",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[8]
LTER_2013,EML,00080-metadata.xml,Contributor Name,"Tim Grahl Southeast Environmental Research Center Florida International University University Park OE 148 Miami FL 33199 USA 305-348-1576 305-348-4096 grahlt@fiu.edu http://www.fiu.edu/~ecosyst/ Technical Staff",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[9]
LTER_2013,EML,00080-metadata.xml,Resource Creation/Revision Date,"2014-11-14",/eml:eml/dataset/pubDate,"/eml:eml/*/pubDate",/eml:eml/dataset[1]/pubDate[1]
LTER_2013,EML,00080-metadata.xml,Publication Date,"2014-11-14",/eml:eml/dataset/pubDate,"/eml:eml/*/pubDate",/eml:eml/dataset[1]/pubDate[1]
LTER_2013,EML,00080-metadata.xml,Abstract,"Rain level is recorded at least every thirty minutes at SRS1a, 2, & 3 (data since 2000). Rain level data are collected using ISCO rain level gages attached to ISCO autosamplers, which also act as dataloggers. We condense these data into daily cumulative rainfall, although hourly rain level data are also available.",/eml:eml/dataset/abstract,"/eml:eml/*/abstract",/eml:eml/dataset[1]/abstract[1]
LTER_2013,EML,00080-metadata.xml,Keyword,"FCE",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[1]
LTER_2013,EML,00080-metadata.xml,Keyword,"Florida Coastal Everglades LTER",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[2]
LTER_2013,EML,00080-metadata.xml,Keyword,"ecological research",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[3]
LTER_2013,EML,00080-metadata.xml,Keyword,"long-term monitoring",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[4]
LTER_2013,EML,00080-metadata.xml,Keyword,"Shark River Slough",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[5]
LTER_2013,EML,00080-metadata.xml,Keyword,"Everglades National Park",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[6]
LTER_2013,EML,00080-metadata.xml,Keyword,"precipitation",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[7]
LTER_2013,EML,00080-metadata.xml,Keyword,"rain",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[8]
LTER_2013,EML,00080-metadata.xml,Keyword,"meteorology",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[9]
LTER_2013,EML,00080-metadata.xml,Keyword,"ecosystems",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[10]
LTER_2013,EML,00080-metadata.xml,Keyword,"estuarine",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[11]
LTER_2013,EML,00080-metadata.xml,Keyword,"freshwater",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[12]
LTER_2013,EML,00080-metadata.xml,Keyword Vocabulary,"LTER Keyword Thesaurus",/eml:eml/dataset/keywordSet/keywordThesaurus,"/eml:eml/*/keywordSet/keywordThesaurus",/eml:eml/dataset[1]/keywordSet[1]/keywordThesaurus[1]
LTER_2013,EML,00080-metadata.xml,Rights,"These data are classified as 'Type I' whereby original FCE LTER experimental data collected by individual FCE researchers are available for scientific purposes 2 years after collection. Maximum lock period = 2 years. All publications based on this dataset must cite the data Contributor, the Florida Coastal Everglades Long-Term Ecological Research (LTER) Program and that this material is based upon work supported by the National Science Foundation through the Florida Coastal Everglades Long-Term Ecological Research program under Cooperative Agreements #DBI-0620409, and #DEB-9910514. Additionally, two copies of the manuscript must be submitted to the Florida Coastal Everglades LTER Program Office, LTER Program Manager, Florida International University, Southeast Environmental Research Center, OE 148, University Park, Miami, Florida 33199. For a complete description of the FCE LTER Data Distribution and Data User Agreement, please go to FCE Data Management Policy at http://fcelter.fiu.edu/data/DataMgmt.pdf and LTER Network Data Access Policy at http://fcelter.fiu.edu/data/core/data_user_agreement/distribution_policy.html.",/eml:eml/dataset/intellectualRights,"/eml:eml/*/intellectualRights",/eml:eml/dataset[1]/intellectualRights[1]
