Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"010.0",/dsOverview/@ID,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"primary",/dsOverview/@type,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"2013-04-11 12:23:02 -0600",/dsOverview/timeStamp/@value,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"yes",/dsOverview/continuingUpdate/@value,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"daily",/dsOverview/continuingUpdate/@frequency,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"all_free",/dsOverview/access,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"standard",/dsOverview/access/@pricingRate,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"Daily Northern Hemisphere Sea Level Pressure Grids, continuing from 1899",/dsOverview/title,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"The 5-degree latitude/longitude grids contained in this dataset make up the longest continuous set of daily gridded Northern Hemisphere sea-level pressure data in the DSS archive. These grids have been assembled by DSS from the grids of various meteorological chart digitization projects and operational analyses. Grids begin in 1899 and cover the Northern Hemisphere from 15N to the North Pole. The dataset continues to be updated regularly as new data become available.",/dsOverview/summary/p,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"various meteorological chart digitization projects and operational analyses",/dsOverview/summary/p/a,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"http://rda.ucar.edu/datasets/ds010.0/docs/data_sources.php",/dsOverview/summary/p/a/@href,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"In the earlier years, there is one grid per day, but from July 1962 on, there are two grids per day. Prior to 1946, the original grids had a 10-degree resolution and the intermediate points were interpolated and indicated as such. Also in this period, there are times when large numbers of gridpoints are missing, particularly over the Asian continent. For more information, see the documentation about original data points.",/dsOverview/summary/p,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"documentation",/dsOverview/summary/p/a,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"http://rda.ucar.edu/datasets/ds010.0/docs/",/dsOverview/summary/p/a/@href,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"GCMD",/dsOverview/creator/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research",/dsOverview/creator/@name,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"GCMD",/dsOverview/contributor/@vocabulary,Undefined
RDA,RDA-CISL,oai:edu.ucar.rda:ds010.0.xml,Unknown,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research",/dsOverview/contributor/@name,Undefined
