Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Resource Citation,"John C Nelson 20120702 2011 UMRS Color Infrared Aerial Photo Mosaic - Mississippi River, Pool 25 remote-sensing image http://www.umesc.usgs.gov/data_library/photographs/2010_photo_mosaics.html",/metadata/idinfo/citation/citeinfo,"/csdgm:metadata/csdgm:idinfo/csdgm:citation/csdgm:citeinfo"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Abstract,"The Upper Mississippi River Restoration-Environmental Management Program (UMRR-EMP) partnered with the U.S. Fish and Wildlife Service (USFWS) Region 3 to collect 2011 digital color infrared (CIR) aerial photography of Pools 14 - Open River South, Mississippi River and Pools Dresden - Lockport, Illinois River at 16”/pixel using a mapping-grade Applanix DSS439 digital aerial camera. The photography shall be at a minimum accuracy of 5-10 meters and allow for the development of orthorectified photo mosaics by U.S. Geological Survey – Upper Midwest Environmental Sciences Center (USGS-UMESC) for all or portions of the coverage area. The flights occurred during times of peak vegetation biomass, typically from late August through early September. The primary use of this photography is for the development of Land Cover / Land Use (LCU) databases of the UMRS by the USGS-UMESC. The photography and LCU databases are used in support of all stages of HREP project development and monitoring. In addition, the photography and maps are used for research and monitoring efforts conducted by the LTRM component in support of UMRR-EMP. The imagery is served over the internet as orthorectified pool mosaics by USGS-UMESC.",/metadata/idinfo/descript/abstract,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:abstract"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Purpose,"In 1989, UMESC and the Upper Mississippi River Restoration-Environmental Management Program (UMRR-EMP) began collecting aerial photos of the Upper Mississippi River System (UMRS) from Cairo, IL to Minneapolis, MN and the Illinois River from its confluence with the Mississippi near Grafton, IL upstream to Joliet, IL. In years past the extent was road/railroad to road/railroad. Starting in 2000, the area photographed was expanded to base-of-bluff to base-of-bluff. The data are stored in Universal Transverse Mercator (UTM) projection, zone 15 and North American Datum 1983 (NAD83).",/metadata/idinfo/descript/purpose,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:purpose"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"20110825",/metadata/idinfo/timeperd/timeinfo/sngdate/caldate,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"ground condition",/metadata/idinfo/timeperd/current,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Resource Status,"Complete None planned",/metadata/idinfo/status,"/csdgm:metadata/csdgm:idinfo/csdgm:status"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Bounding Box,"-90.930374 -90.642105 39.465991 38.978215",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Spatial Extent,"-90.930374 -90.642105 39.465991 38.978215",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Keyword Vocabulary,"None",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Keyword Type,"None",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Theme Keyword,"aerial imagery",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Keyword,"aerial imagery",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Rights,"None",/metadata/idinfo/accconst,"/csdgm:metadata/csdgm:idinfo/csdgm:accconst"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Resource Access Constraints,"None",/metadata/idinfo/accconst,"/csdgm:metadata/csdgm:idinfo/csdgm:accconst"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Rights,"Although these data have been processed successfully on a computer system at the U.S. Geological Survey, no warranty has been expressed or implied regarding the individual use of the data or aggregate use with other data, nor shall the act of distribution constitute any such warranty. It is strongly recommended that these data are directly acquired from a U.S. Geological Survey server and not indirectly through other sources which may have changed the data in some way. It is also strongly recommended that careful attention be paid to the contents of the metadata file associated with these data. The U.S. Geological Survey shall not be held liable for improper or incorrect use of the data described and/or contained herein.",/metadata/idinfo/useconst,"/csdgm:metadata/csdgm:idinfo/csdgm:useconst"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Resource Use Constraints,"Although these data have been processed successfully on a computer system at the U.S. Geological Survey, no warranty has been expressed or implied regarding the individual use of the data or aggregate use with other data, nor shall the act of distribution constitute any such warranty. It is strongly recommended that these data are directly acquired from a U.S. Geological Survey server and not indirectly through other sources which may have changed the data in some way. It is also strongly recommended that careful attention be paid to the contents of the metadata file associated with these data. The U.S. Geological Survey shall not be held liable for improper or incorrect use of the data described and/or contained herein.",/metadata/idinfo/useconst,"/csdgm:metadata/csdgm:idinfo/csdgm:useconst"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Resource Contact,"U.S. Geological Survey, Midwest Region John C Nelson Biologist mailing address 2630 Fanta Reed Road La Crosse WI 54603 US 608-781-6370 608-783-6066 jcnelson@usgs.gov",/metadata/idinfo/ptcontac,"/csdgm:metadata/csdgm:idinfo/csdgm:ptcontac"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Contributor Name,"USACE Districts: Rock Island and St. Louis; USACE Long Term Resource Monitoring component in support of the Upper Mississippi River Restoration-Environmental Management Program, USFWS Region 3, and the USGS Upper Midwest Environmental Sciences Center",/metadata/idinfo/datacred,"/csdgm:metadata/csdgm:idinfo/csdgm:datacred"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Acknowledgement,"USACE Districts: Rock Island and St. Louis; USACE Long Term Resource Monitoring component in support of the Upper Mississippi River Restoration-Environmental Management Program, USFWS Region 3, and the USGS Upper Midwest Environmental Sciences Center",/metadata/idinfo/datacred,"/csdgm:metadata/csdgm:idinfo/csdgm:datacred"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"Environment as of Metadata Creation: Microsoft Windows 7 Version 6.1 (Build 7601) Service Pack 1; ESRI ArcCatalog 10.2 (Build 3552) Service Pack [N/A] (Build [N/A])",/metadata/idinfo/native,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Quality Statement,"No formal attribute accuracy tests were conducted. No formal logical accuracy tests were conducted. Data set is considered complete for the information presented, as described in the abstract. Users are advised to read the rest of the metadata record carefully for additional details. A formal accuracy assessment of the horizontal positional information in the data set has not been conducted. A formal accuracy assessment of the vertical positional information in the data set has either not been conducted, or is not applicable. Development of the data set by the agency / individuals identified in the 'Originator' element in the Identification Info section of the record. Unknown",/metadata/dataqual,"/csdgm:metadata/csdgm:dataqual"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Resource Quality Description,"No formal attribute accuracy tests were conducted. No formal logical accuracy tests were conducted. Data set is considered complete for the information presented, as described in the abstract. Users are advised to read the rest of the metadata record carefully for additional details. A formal accuracy assessment of the horizontal positional information in the data set has not been conducted. A formal accuracy assessment of the vertical positional information in the data set has either not been conducted, or is not applicable. Development of the data set by the agency / individuals identified in the 'Originator' element in the Identification Info section of the record. Unknown",/metadata/dataqual,"/csdgm:metadata/csdgm:dataqual"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"Raster",/metadata/spdoinfo/direct,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"Pixel",/metadata/spdoinfo/rastinfo/rasttype,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"132008",/metadata/spdoinfo/rastinfo/rowcount,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"58108",/metadata/spdoinfo/rastinfo/colcount,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"WGS 84 UTM zone 15N",/metadata/spref/horizsys/planar/mapproj/mapprojn,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"0.9996",/metadata/spref/horizsys/planar/mapproj/transmer/sfctrmer,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"-93.0",/metadata/spref/horizsys/planar/mapproj/transmer/longcm,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"0.0",/metadata/spref/horizsys/planar/mapproj/transmer/latprjo,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"500000.0",/metadata/spref/horizsys/planar/mapproj/transmer/feast,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"0.0",/metadata/spref/horizsys/planar/mapproj/transmer/fnorth,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"coordinate pair",/metadata/spref/horizsys/planar/planci/plance,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"0.000000002220024164500956",/metadata/spref/horizsys/planar/planci/coordrep/absres,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"0.000000002220024164500956",/metadata/spref/horizsys/planar/planci/coordrep/ordres,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"meter",/metadata/spref/horizsys/planar/planci/plandu,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"D WGS 1984",/metadata/spref/horizsys/geodetic/horizdn,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"WGS 1984",/metadata/spref/horizsys/geodetic/ellips,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"6378137.0",/metadata/spref/horizsys/geodetic/semiaxis,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Unknown,"298.257223563",/metadata/spref/horizsys/geodetic/denflat,Undefined
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Resource Distribution,"U.S. Geological Survey, Midwest Region John C Nelson Biologist mailing address 2630 Fanta Reed Road La Crosse WI 54603 US 608-781-6370 608-783-6066 jcnelson@usgs.gov Distributor assumes no liability for misuse of data. http://www.umesc.usgs.gov/data_library/photographs/2010_photo_mosaics.html None. No fees are applicable for obtaining the data set.",/metadata/distinfo,"/csdgm:metadata/csdgm:distinfo"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Metadata Modified Date,"20150217",/metadata/metainfo/metd,"/csdgm:metadata/csdgm:metainfo/csdgm:metd"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Metadata Contact,"John C Nelson U.S. Geological Survey, Midwest Region Biologist mailing address 2630 Fanta Reed Road La Crosse WI 54603 US 608-781-6370 608-783-6066 jcnelson@usgs.gov",/metadata/metainfo/metc/cntinfo,"/csdgm:metadata/csdgm:metainfo/csdgm:metc/csdgm:cntinfo"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Metadata Language,"FGDC Content Standard for Digital Geospatial Metadata",/metadata/metainfo/metstdn,"/csdgm:metadata/csdgm:metainfo/csdgm:metstdn"
OldScienceBase,CSDGM,53c7e664e4b0194841642527.xml,Metadata Standard Citation,"FGDC Content Standard for Digital Geospatial Metadata",/metadata/metainfo/metstdn,"/csdgm:metadata/csdgm:metainfo/csdgm:metstdn"
