Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Resource Citation,"U.S. Geological Survey, Core Science Analytics and Synthesis Program 201308 National Fish Habitat Partnership Data System Maps, Data, Publication, Software and Tools http://ecosystems.usgs.gov/fishhabitat/",/metadata/idinfo/citation/citeinfo,"/csdgm:metadata/csdgm:idinfo/csdgm:citation/csdgm:citeinfo"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Abstract,"Version 3.0 of the NFHP Data System consists of data access and visualization tools and underlying data management tools and functions. The NFHP National Assessment Results Viewer allows users to visualize the primary results reported in Through a Fish's Eye: The Status of Fish Habitats in the United States 2010 at various spatial scales. It depicts the condition of stream and coastal habitats across the country on a variety of base maps and provides one-click access to more detailed information at finer scales. The NFHP Data Theme Viewer provides a summarized look at available data by theme. Datasets are displayed to show data distribution and data density nationally, compared to available data linked to the NFHP spatial framework. The first theme to be provided is the Biological Data theme. Future priority data themes will be determined through the efforts of the National Science and Data Committee. The NFHP Data System provides streamlined data access and download capabilities for national and partnership data via a familiar Web page format. Behind the scenes, data management and delivery tools are powered by two existing USGS systems to enhance the data sharing, documentation, and delivery capabilities available to partners: USGS ScienceBase provides the data file upload and catalog services, while the USGS Core Science Metadata Clearinghouse assists with data documentation and preservation best practices that will improve the ability for partners, researchers, and managers whom access and use data now and in the future.",/metadata/idinfo/descript/abstract,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:abstract"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Purpose,"The National Fish Habitat Partnership Data System supports coordinated efforts of scientific assessment and data exchange among the partners and stakeholders of the aquatic habitat community. The underlying data management tools and best practices are the foundation enabling partners, researchers, and managers to access and use data now and in the future.",/metadata/idinfo/descript/purpose,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:purpose"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Temporal Extent,"2000 Present",/metadata/idinfo/timeperd/timeinfo/rngdates,"/csdgm:metadata/csdgm:idinfo/csdgm:timeperd/csdgm:timeinfo/csdgm:rngdates"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Unknown,"publication date",/metadata/idinfo/timeperd/current,Undefined
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Resource Status,"In work Frequency of system enhancements are anticipated 2 times a year and as needed, frequency of embedded data catalog updates will be irregular and multiple times throughout the year",/metadata/idinfo/status,"/csdgm:metadata/csdgm:idinfo/csdgm:status"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Site,"Nationwide; conterminous U.S. including Alaska and Hawaii",/metadata/idinfo/spdom/descgeog,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:descgeog"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Bounding Box,"-180.0 -63 74.00000 17.00000",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Spatial Extent,"-180.0 -63 74.00000 17.00000",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword Vocabulary,"None",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword Type,"None",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"fish",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"fish",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"fish habitat",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"fish habitat",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"National Fish Habitat Partnership",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"National Fish Habitat Partnership",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"NFHP",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"NFHP",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"National Fish Habitat Action Plan",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"National Fish Habitat Action Plan",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"national assessment",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"national assessment",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"aquatic conservation",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"aquatic conservation",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"National Hydrography Dataset Plus",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"National Hydrography Dataset Plus",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"NHD+",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"NHD+",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"spatial framework",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"spatial framework",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"landscape scale",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"landscape scale",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"Habitat Condition Index",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"Habitat Condition Index",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"HCI",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"HCI",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"inland aquatic systems",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"inland aquatic systems",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"coastal aquatic systems",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"coastal aquatic systems",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"inland and coastal aquatic systems",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"inland and coastal aquatic systems",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"human disturbance",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"human disturbance",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"data management practices",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"data management practices",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Theme Keyword,"data management",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Keyword,"data management",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
USGSC,CSDGM,4f4e4773e4b07f02db47e241.xml,Rights,"All data are open and non proprietary.",/metadata/idinfo/accconst,"/csdgm:metadata/csdgm:idinfo/csdgm:accconst"
