Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
GHRC,ISO,lohrac.xml,Metadata Identifier,"gov.nasa.echo:LIS/OTD 0.5 DEGREE HIGH RESOLUTION ANNUAL CLIMATOLOGY (HRAC) V2.3.2013",/gmi:MI_Metadata/gmd:fileIdentifier,"/*/gmd:fileIdentifier"
GHRC,ISO,lohrac.xml,Metadata Language,"eng",/gmi:MI_Metadata/gmd:language,"/*/gmd:language"
GHRC,ISO,lohrac.xml,Unknown,"utf8",/gmi:MI_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode,Undefined
GHRC,ISO,lohrac.xml,Unknown,"http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#MD_CharacterSetCode",/gmi:MI_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode/@codeList,Undefined
GHRC,ISO,lohrac.xml,Unknown,"utf8",/gmi:MI_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode/@codeListValue,Undefined
GHRC,ISO,lohrac.xml,Resource Type,"series",/gmi:MI_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode,"/*/gmd:hierarchyLevel/gmd:MD_ScopeCode"
GHRC,ISO,lohrac.xml,Metadata Contact,"GHRC pointOfContact",/gmi:MI_Metadata/gmd:contact,"/*/gmd:contact"
GHRC,ISO,lohrac.xml,Metadata Modified Date,"2015-01-20T09:57:35.163-05:00",/gmi:MI_Metadata/gmd:dateStamp/gco:DateTime,"/*/gmd:dateStamp/gco:DateTime"
GHRC,ISO,lohrac.xml,Metadata Dates,"2015-01-20T09:57:35.163-05:00",/gmi:MI_Metadata/gmd:dateStamp/gco:DateTime,"/*/gmd:dateStamp/gco:DateTime"
GHRC,ISO,lohrac.xml,Metadata Standard Citation,"ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data",/gmi:MI_Metadata/gmd:metadataStandardName,"/*/gmd:metadataStandardName"
GHRC,ISO,lohrac.xml,Metadata Standard Version,"ISO 19115-2:2009(E)",/gmi:MI_Metadata/gmd:metadataStandardVersion,"/*/gmd:metadataStandardVersion"
GHRC,ISO,lohrac.xml,Spatial Representation,"CARTESIAN",/gmi:MI_Metadata/gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,"/*/gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier"
