Record,XPath,Content
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/@ID,"010.0"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/@type,"primary"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/timeStamp/@value,"2013-04-11 12:23:02 -0600"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/continuingUpdate/@value,"yes"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/continuingUpdate/@frequency,"daily"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/access,"all_free"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/access/@pricingRate,"standard"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/title,"Daily Northern Hemisphere Sea Level Pressure Grids, continuing from 1899"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/summary/p,"The 5-degree latitude/longitude grids contained in this dataset make up the longest continuous set of daily gridded Northern Hemisphere sea-level pressure data in the DSS archive. These grids have been assembled by DSS from the grids of various meteorological chart digitization projects and operational analyses. Grids begin in 1899 and cover the Northern Hemisphere from 15N to the North Pole. The dataset continues to be updated regularly as new data become available."
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/summary/p/a,"various meteorological chart digitization projects and operational analyses"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/summary/p/a/@href,"http://rda.ucar.edu/datasets/ds010.0/docs/data_sources.php"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/summary/p,"In the earlier years, there is one grid per day, but from July 1962 on, there are two grids per day. Prior to 1946, the original grids had a 10-degree resolution and the intermediate points were interpolated and indicated as such. Also in this period, there are times when large numbers of gridpoints are missing, particularly over the Asian continent. For more information, see the documentation about original data points."
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/summary/p/a,"documentation"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/summary/p/a/@href,"http://rda.ucar.edu/datasets/ds010.0/docs/"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/creator/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/creator/@name,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@name,"UCAR/NCAR/CISL/DSS > Data Support Section, Computational and Information Systems Laboratory, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@formerName,"UCAR/NCAR/CISL/DSS > Data Support Section, Scientific Computing Division, National Center for Atmospheric Research, University Corporation for Atmospheric Research"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@name,"DOC/NOAA/NWS > National Weather Service, NOAA, U.S. Department of Commerce"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@formerName,"National Weather Bureau/Extended Forecast Division"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@name,"MIT/EAPS > Dept. of Earth, Atmospheric, and Planetary Sciences, Massachusetts Institute of Technology"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@name,"GB/MOD/MET > Met Office, Ministry of Defence, United Kingdom"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@name,"DOC/NOAA/NESDIS/NCDC > National Climatic Data Center, NESDIS, NOAA, U.S. Department of Commerce"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@name,"DOD/USNAVY/NRL/MRY > Naval Research Laboratory, Monterey, U.S. Navy, U. S. Department of Defense"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contributor/@name,"DOC/NOAA/NWS/NCEP > National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/variable,"EARTH SCIENCE > Atmosphere > Atmospheric Pressure > Sea Level Pressure"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/variable/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contact,"Bob Dattore"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/platform,"MAPS"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/platform/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/platform,"GRIDDING METHODS"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/platform/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/project,"ESSPO > 433L ESSPO"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/project/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/topic,"climatologyMeteorologyAtmosphere"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/topic/@vocabulary,"ISO"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/relatedDataset/@ID,"010.1"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/publicationDate,"1979-12-05"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/temporal/@start,"1899-01-01 13:00 +0000"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/temporal/@end,"2015-11-29 12:00 +0000"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/temporal/@groupID,"Entire Dataset"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/temporalFrequency/@type,"regular"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/temporalFrequency/@number,"1"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/temporalFrequency/@unit,"day"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/dataType,"grid"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/dataType,"platform_observation"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/format,"DSS_SLP_Grid"
oai:edu.ucar.rda:ds010.0.xml,/dsOverview/contentMetadata/format/@href,"http://dss.ucar.edu/datasets/common/ncar.slp/format.html"
