Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
PODAAC,ISO,C1282709905.xml,Metadata Identifier,gov.nasa.echo:PODAAC-GHMTB-2PN02,/gmi:MI_Metadata/gmd:fileIdentifier,/*/gmd:fileIdentifier
PODAAC,ISO,C1282709905.xml,Metadata Language,eng,/gmi:MI_Metadata/gmd:language,/*/gmd:language
PODAAC,ISO,C1282709905.xml,Unknown,utf8,/gmi:MI_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode,Undefined
PODAAC,ISO,C1282709905.xml,Unknown,http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#MD_CharacterSetCode,/gmi:MI_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode/@codeList,Undefined
PODAAC,ISO,C1282709905.xml,Unknown,utf8,/gmi:MI_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode/@codeListValue,Undefined
PODAAC,ISO,C1282709905.xml,Resource Type,series,/gmi:MI_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode,/*/gmd:hierarchyLevel/gmd:MD_ScopeCode
PODAAC,ISO,C1282709905.xml,Metadata Contact,PO.DAAC pointOfContact,/gmi:MI_Metadata/gmd:contact,/*/gmd:contact
PODAAC,ISO,C1282709905.xml,Metadata Modified Date,2016-10-05T18:46:42.041Z,/gmi:MI_Metadata/gmd:dateStamp/gco:DateTime,/*/gmd:dateStamp/gco:DateTime
PODAAC,ISO,C1282709905.xml,Metadata Dates,2016-10-05T18:46:42.041Z,/gmi:MI_Metadata/gmd:dateStamp/gco:DateTime,/*/gmd:dateStamp/gco:DateTime
PODAAC,ISO,C1282709905.xml,Metadata Standard Citation,ISO 19115-2 Geographic Information - Metadata Part 2 Extensions for imagery and gridded data,/gmi:MI_Metadata/gmd:metadataStandardName,/*/gmd:metadataStandardName
PODAAC,ISO,C1282709905.xml,Metadata Standard Version,ISO 19115-2:2009(E),/gmi:MI_Metadata/gmd:metadataStandardVersion,/*/gmd:metadataStandardVersion
PODAAC,ISO,C1282709905.xml,Spatial Representation,CARTESIAN,/gmi:MI_Metadata/gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,/*/gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier
PODAAC,ISO,C1282709905.xml,Publication Information,AVHRRMTB_G-NAVO-L2P-v1.0 > GHRSST Level 2P Global 1m Sea Surface Temperature from the Advanced Very High Resolution Radiometer (AVHRR) on the MetOp-B satellite produced by NAVO 2013-09-24T22:46:50.986Z revision 2013-09-24T22:46:50.986Z creation 1 AVHRRMTB_G-NAVO-L2P-v1.0 GHRSST Level 2P Global 1m Sea Surface Temperature from the Advanced Very High Resolution Radiometer (AVHRR) on the MetOp-B satellite produced by NAVO,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation,/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation
PODAAC,ISO,C1282709905.xml,Abstract,"A global Group for High Resolution Sea Surface Temperature (GHRSST) Level 2P dataset based on multi-channel sea surface temperature (SST) retrievals generated in real-time from the Advanced Very High Resolution Radiometer (AVHRR) on the European Meteorological Operational-A (MetOp-A; launched 19 Oct 2006) ) satellite produced and used operationally in oceanographic analyses and forecasts by the US Naval Oceanographic Office (NAVO). The MetOp satellite program is a European undertaking providing weather data services for monitoring climate and improving weather forecasts. It was jointly established by the European Space Agency (ESA) and the European Organisation for the Exploitation of Meteorological Satellites (EUMETSAT) with a contribution by the US National Oceanic and Atmospheric Administration (NOAA) of an AVHRR sensor identical to those flying on the family of Polar Orbiting Environmental Satellites (POES). AVHRR instruments measure the radiance of the Earth in 5 (or 6) relatively wide spectral bands. The first two are centered around the red (0.6 micrometer) and near-infrared (0.9 micrometer) regions, the third one is located around 3.5 micrometer, and the last two sample the emitted thermal radiation, around 11 and 12 micrometers, respectively. The legacy 5 band instrument is known as AVHRR/2 while the more recent version, the AVHRR/3 (first carried on the NOAA-15 platform), acquires data in a 6th channel located at 1.6 micrometer. Typically the 11 and 12 micron channels are used to derive SST sometimes in combination with the 3.5 micron channel. The MetOp-A platform is sun synchronous generally viewing the same earth location twice a day (latitude dependent) due to the relatively large AVHRR swath of approximately 2400 km. The highest ground resolution that can be obtained from the current AVHRR instruments is 1.1 km at nadir. This particular dataset is produced from Global Area Coverage (GAC) data that are derived from an on-board sample averaging of the full resolution global AVHRR data. Four out of every five samples along the scan line are used to compute on average value and the data from only every third scan line are processed, yielding an effective 4 km resolution at nadir. Further binning and averaging of these pixels results in a final dataset resolution of 8.8 km.",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract,/*/gmd:identificationInfo/*/gmd:abstract
PODAAC,ISO,C1282709905.xml,Purpose,,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:purpose,/*/gmd:identificationInfo/*/gmd:purpose
PODAAC,ISO,C1282709905.xml,Resource Contact,PO.DAAC pointOfContact,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact,/*/gmd:identificationInfo/*/gmd:pointOfContact
PODAAC,ISO,C1282709905.xml,Resource Format,NETCDF,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceFormat/gmd:MD_Format/gmd:name,//gmd:resourceFormat/gmd:MD_Format/gmd:name
PODAAC,ISO,C1282709905.xml,Unknown,unknown,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceFormat/gmd:MD_Format/gmd:version/@gco:nilReason,Undefined
